               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11665,             0.22813,            0.072237,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0007,              0.0007,              0.0937
                   1,             0.10844,             0.21531,            0.067127,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013515,           0.0013515,            0.086351
                   2,            0.097917,             0.20015,            0.049206,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018446,           0.0018446,            0.078845
                   3,            0.086839,             0.19824,            0.035758,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021793,           0.0021793,            0.071179
                   4,            0.082549,             0.19967,            0.030029,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023556,           0.0023556,            0.063356
                   5,            0.079815,             0.19487,            0.027189,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023735,           0.0023735,            0.055374
                   6,            0.092764,             0.18856,            0.025344,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002233,            0.002233,            0.047233
                   7,            0.092385,             0.20839,            0.025397,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019341,           0.0019341,            0.038934
                   8,            0.078062,             0.18746,            0.024796,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014768,           0.0014768,            0.030477
                   9,            0.068207,             0.18437,            0.024393,             0.76315,             0.33836,             0.26048,             0.11801,            0.063706,             0.16085,            0.025293,           0.0008611,           0.0008611,            0.021861
                   0,             0.11458,             0.22935,            0.072976,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0007,              0.0007,             0.10334
                   1,             0.11203,             0.22539,            0.066663,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013518,           0.0013518,            0.095166
                   2,             0.10716,             0.20192,            0.051375,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018455,           0.0018455,             0.08683
                   3,            0.099999,             0.20104,            0.032045,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021812,           0.0021812,            0.078336
                   4,            0.092765,             0.19231,             0.02393,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023588,           0.0023588,            0.069684
                   5,            0.087209,             0.19882,            0.020941,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023783,           0.0023783,            0.060874
                   6,            0.088263,             0.20168,            0.020104,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022397,           0.0022397,            0.051906
                   7,            0.090929,             0.21795,            0.020597,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019431,           0.0019431,             0.04278
                   8,            0.085654,             0.20146,            0.018584,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014883,           0.0014883,            0.033496
                   9,            0.079943,              0.1977,            0.018417,             0.17797,             0.29089,             0.16542,            0.057339,            0.076014,              0.1673,            0.020336,          0.00087553,          0.00087553,            0.024053
                   0,             0.12036,             0.20696,            0.073944,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0007,              0.0007,             0.10345
                   1,             0.11062,             0.19818,            0.065968,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013515,           0.0013515,            0.095259
                   2,            0.098178,             0.19074,            0.044712,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018446,           0.0018446,            0.086914
                   3,            0.085682,             0.18107,            0.032495,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021793,           0.0021793,             0.07841
                   4,            0.081914,             0.17942,            0.028554,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023556,           0.0023556,            0.069748
                   5,            0.079417,             0.17749,            0.026551,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023735,           0.0023735,            0.060928
                   6,            0.085221,             0.16408,            0.023823,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002233,            0.002233,            0.051949
                   7,              0.0843,             0.17949,            0.022812,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019341,           0.0019341,            0.042812
                   8,            0.075978,             0.17864,            0.023975,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014768,           0.0014768,            0.033516
                   9,            0.069758,             0.17393,            0.022258,             0.64132,             0.36847,             0.24019,            0.093955,             0.06486,             0.16422,            0.023743,           0.0008611,           0.0008611,            0.024062
                   0,             0.14454,             0.24313,             0.07697,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0007,              0.0007,            0.099615
                   1,             0.12728,             0.25276,            0.063489,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013515,           0.0013515,            0.091757
                   2,             0.11077,              0.2493,            0.041389,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018446,           0.0018446,            0.083742
                   3,             0.10357,             0.24113,            0.034151,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021793,           0.0021793,            0.075568
                   4,            0.096898,             0.23621,            0.031081,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023556,           0.0023556,            0.067235
                   5,            0.090945,             0.24217,            0.028844,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023735,           0.0023735,            0.058744
