               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12568,            0.067045,            0.073753,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0006,              0.0006,              0.0946
                   1,             0.11787,            0.072446,             0.07011,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011713,           0.0011713,            0.088171
                   2,             0.10732,            0.080938,             0.06623,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001604,            0.001604,            0.081604
                   3,            0.099558,            0.083685,            0.062416,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018981,           0.0018981,            0.074898
                   4,            0.093511,            0.083257,            0.057461,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020536,           0.0020536,            0.068054
                   5,            0.090938,            0.082187,            0.052584,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020705,           0.0020705,            0.061071
                   6,            0.088828,            0.074212,            0.049359,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019488,           0.0019488,            0.053949
                   7,             0.08867,            0.076619,            0.046936,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016885,           0.0016885,            0.046689
                   8,            0.086578,            0.071996,            0.045556,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012896,           0.0012896,             0.03929
                   9,            0.081561,            0.075493,            0.044612,              0.3987,             0.34011,             0.22511,            0.085423,            0.080553,            0.059621,            0.044667,           0.0007521,           0.0007521,            0.031752
                   0,            0.099678,            0.050942,             0.08167,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007146,           0.0007146,            0.090917
                   1,            0.092466,            0.055699,            0.076305,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001395,            0.001395,             0.08488
                   2,            0.082259,            0.062985,            0.069411,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019104,           0.0019104,            0.078678
                   3,             0.07679,            0.062927,            0.061169,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022607,           0.0022607,            0.072311
                   4,            0.071869,            0.061655,            0.054048,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024459,           0.0024459,             0.06578
                   5,            0.068161,            0.061921,            0.049733,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024661,           0.0024661,            0.059082
                   6,            0.065817,            0.056634,            0.046495,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023212,           0.0023212,             0.05222
                   7,            0.066599,            0.058346,            0.043572,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020112,           0.0020112,            0.045193
                   8,            0.063395,            0.056105,             0.04238,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015362,           0.0015362,            0.038001
                   9,            0.060514,            0.057339,            0.041422,             0.53482,             0.40462,             0.29682,             0.13997,            0.059641,            0.046137,            0.041731,          0.00089612,          0.00089612,            0.030644
                   0,             0.10151,            0.050716,            0.082004,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007176,           0.0007176,             0.09014
                   1,            0.093047,              0.0568,            0.075977,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014009,           0.0014009,            0.084164
                   2,            0.083278,            0.062848,            0.069098,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019184,           0.0019184,            0.078022
                   3,            0.077871,            0.062233,            0.060843,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022701,           0.0022701,            0.071715
                   4,            0.073065,            0.060774,             0.05426,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024561,           0.0024561,            0.065242
                   5,            0.069412,            0.061262,            0.049785,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024764,           0.0024764,            0.058603
                   6,            0.067927,            0.055705,            0.046597,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023308,           0.0023308,            0.051798
                   7,            0.068919,            0.057154,            0.043868,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020195,           0.0020195,            0.044828
                   8,            0.066417,            0.054673,            0.042665,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015425,           0.0015425,            0.037692
                   9,             0.06342,              0.0562,             0.04171,             0.56752,             0.39794,             0.27468,              0.1125,            0.063952,            0.044721,            0.042209,          0.00089966,          0.00089966,             0.03039
                   0,             0.11874,            0.032945,            0.081724,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007176,           0.0007176,             0.10346
                   1,              0.1077,            0.037931,            0.075859,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014014,           0.0014014,            0.096492
                   2,            0.095916,            0.042533,            0.069001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019201,           0.0019201,             0.08936
                   3,            0.089477,            0.043615,            0.060779,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022735,           0.0022735,            0.082063
                   4,            0.083125,            0.044448,            0.053448,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024618,           0.0024618,              0.0746
                   5,            0.080418,            0.044764,             0.04887,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024849,           0.0024849,            0.066972
                   6,             0.07652,            0.040997,            0.045963,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023429,           0.0023429,            0.059179
                   7,            0.077763,            0.042755,            0.043565,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020356,           0.0020356,            0.051221
                   8,            0.073372,            0.041095,            0.042875,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015632,           0.0015632,            0.043097
                   9,            0.070846,             0.04174,            0.042029,              0.3261,             0.35934,             0.24824,             0.09506,            0.070487,            0.032558,            0.042011,          0.00092558,          0.00092558,            0.034809
                   0,              0.1324,            0.037264,            0.073979,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006972,           0.0006972,             0.11743
                   1,             0.12205,            0.041559,            0.070378,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013619,           0.0013619,              0.1094
                   2,             0.10852,            0.051941,            0.066323,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018663,           0.0018663,             0.10121
                   3,            0.098695,             0.05541,            0.062299,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022106,           0.0022106,            0.092862
                   4,            0.090591,            0.058185,            0.057249,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023947,           0.0023947,            0.084353
                   5,            0.085588,            0.055517,            0.051992,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024186,           0.0024186,            0.075685
