               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099433,            0.051138,            0.081439,           0.0064436,              0.1402,             0.01918,           0.0045373,            0.097667,            0.039289,            0.077288,           0.0007146,           0.0007146,            0.090917
                   1,            0.091302,            0.056638,            0.075417,           0.0063739,              0.2902,            0.040618,            0.015602,            0.085104,            0.047223,            0.070781,           0.0015176,           0.0015176,            0.085003
                   2,            0.080953,            0.063423,            0.068112,             0.10594,             0.20481,            0.056085,            0.020273,            0.080546,            0.048255,            0.063986,           0.0022877,           0.0022877,            0.079056
                   3,            0.076068,            0.062115,            0.058617,             0.72066,              0.1351,            0.039903,            0.010579,            0.077529,            0.051408,            0.057953,           0.0030247,           0.0030247,            0.073075
                   4,            0.071561,            0.059291,            0.051575,             0.21379,             0.18652,             0.13349,            0.046292,            0.071059,            0.062906,            0.054872,           0.0037287,           0.0037287,            0.067062
                   5,            0.066691,            0.060054,            0.046251,             0.26474,             0.17039,              0.1553,            0.051751,            0.077224,            0.072282,            0.050091,           0.0043997,           0.0043997,            0.061016
                   6,            0.063193,            0.054651,            0.042545,             0.32315,             0.30947,             0.17281,            0.078207,            0.069585,            0.062648,            0.044374,           0.0050377,           0.0050377,            0.054937
                   7,            0.069368,            0.052947,            0.039285,             0.30489,             0.33108,             0.15493,            0.062545,            0.080759,            0.044955,            0.038847,           0.0056426,           0.0056426,            0.048825
                   8,            0.070278,            0.048803,            0.037523,             0.39325,             0.35509,             0.27488,              0.1075,            0.072913,            0.042678,            0.036858,           0.0062146,           0.0062146,            0.042679
                   9,            0.064532,            0.050512,            0.035164,             0.28035,             0.49726,             0.22048,            0.068123,            0.075201,            0.053683,            0.034658,           0.0067535,           0.0067535,            0.036501
                  10,            0.067542,            0.050851,            0.034031,             0.30359,             0.49119,             0.23931,            0.096925,            0.066564,            0.040965,            0.034616,           0.0072595,           0.0072595,             0.03029
                  11,             0.06336,            0.048841,            0.031919,             0.31725,             0.49287,             0.31303,             0.12917,            0.065137,            0.037385,            0.032117,           0.0077324,           0.0077324,            0.024046
                  12,            0.062974,             0.05016,             0.03022,             0.35942,             0.45337,              0.3106,            0.099897,            0.066999,            0.045871,            0.031645,           0.0081723,           0.0081723,            0.017768
                  13,            0.063469,            0.048049,            0.030008,              0.3044,             0.44577,             0.27387,            0.077342,            0.068626,            0.040395,            0.031373,           0.0085792,           0.0085792,            0.011458
                  14,            0.061691,            0.045289,            0.028753,             0.34802,             0.54609,             0.37847,             0.15378,            0.061283,             0.03948,            0.030988,           0.0086087,           0.0086087,           0.0086087
                  15,             0.05792,            0.047295,            0.027257,             0.22799,               0.602,             0.32311,             0.11641,            0.058496,            0.040098,            0.028831,           0.0086087,           0.0086087,           0.0086087
                  16,            0.058033,            0.048517,            0.026606,             0.19856,             0.54495,             0.32368,             0.13289,            0.061335,             0.06024,            0.030618,           0.0083729,           0.0083729,           0.0083729
                  17,            0.055291,            0.047526,            0.026193,             0.21104,             0.63633,             0.36022,             0.11977,            0.061999,            0.063457,            0.029612,           0.0081371,           0.0081371,           0.0081371
                  18,            0.055167,            0.048667,            0.025269,             0.30978,              0.7531,             0.44453,             0.20331,            0.050897,            0.045221,            0.026996,           0.0079013,           0.0079013,           0.0079013
                  19,            0.050539,            0.044484,            0.023166,             0.27071,             0.64204,             0.41634,             0.18443,             0.05389,            0.039614,            0.025804,           0.0076655,           0.0076655,           0.0076655
                  20,            0.052567,            0.045496,            0.023427,              0.2973,             0.68041,             0.45763,             0.20382,            0.049402,             0.03863,             0.02508,           0.0074297,           0.0074297,           0.0074297
                  21,            0.049951,            0.044893,            0.023375,             0.37456,             0.64521,             0.48712,             0.22051,            0.051809,            0.037607,            0.027413,           0.0071939,           0.0071939,           0.0071939
                  22,            0.049852,            0.050061,            0.021997,             0.38171,             0.66752,             0.48548,              0.2209,            0.047846,            0.038391,            0.024672,           0.0069581,           0.0069581,           0.0069581
                  23,            0.047401,            0.047389,            0.022468,             0.35727,             0.76684,              0.5184,             0.23498,            0.048227,            0.037308,            0.024289,           0.0067223,           0.0067223,           0.0067223
                  24,             0.04844,            0.045806,            0.021406,             0.38016,             0.72378,             0.53954,              0.2546,             0.04634,            0.037006,            0.024825,           0.0064865,           0.0064865,           0.0064865
