               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03753,            0.042685,            0.015614,             0.60641,             0.68949,             0.62621,             0.35262,            0.037705,            0.038238,            0.017139,           0.0007146,           0.0007146,            0.090917
                   1,            0.037883,            0.043276,            0.015318,             0.56373,             0.68283,             0.62555,             0.34315,            0.038039,            0.038463,            0.017418,           0.0015176,           0.0015176,            0.085003
                   2,            0.037663,            0.042722,            0.015229,             0.70996,             0.73449,             0.62714,              0.3428,            0.037731,            0.038962,            0.017271,           0.0022877,           0.0022877,            0.079056
                   3,            0.036522,            0.040826,            0.014495,             0.57828,             0.66037,             0.59747,             0.33094,            0.038259,            0.039724,            0.017569,           0.0030247,           0.0030247,            0.073075
                   4,             0.03751,            0.041401,            0.014617,             0.69943,             0.69441,             0.60501,              0.3216,            0.038908,            0.040286,            0.017421,           0.0037287,           0.0037287,            0.067062
                   5,            0.038362,            0.041434,            0.014223,             0.45789,             0.69289,             0.58131,             0.31061,            0.039541,            0.041995,            0.017887,           0.0043997,           0.0043997,            0.061016
                   6,            0.039605,            0.042593,            0.014974,             0.52459,             0.66273,             0.60251,             0.30887,            0.039735,             0.04225,            0.017747,           0.0050377,           0.0050377,            0.054937
                   7,             0.04471,            0.040759,             0.01564,             0.30388,             0.57378,             0.35769,              0.1497,            0.052354,             0.04095,            0.025381,           0.0056426,           0.0056426,            0.048825
                   8,            0.049697,            0.041094,            0.015001,             0.43118,             0.66364,             0.53581,             0.21517,             0.04631,            0.038325,            0.017986,           0.0062146,           0.0062146,            0.042679
                   9,            0.046078,            0.043053,            0.015468,             0.52849,             0.67095,             0.51394,             0.24301,            0.047799,            0.036171,             0.01902,           0.0067535,           0.0067535,            0.036501
                  10,            0.049644,            0.041569,            0.015638,             0.37121,             0.63154,             0.44246,             0.19225,            0.047174,            0.039103,            0.019337,           0.0072595,           0.0072595,             0.03029
                  11,            0.046951,            0.043362,            0.015204,             0.54279,             0.55578,             0.46857,             0.18094,            0.050725,            0.041184,            0.019484,           0.0077324,           0.0077324,            0.024046
