               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11667,             0.22808,            0.072241,           0.0018844,           0.0059407,          0.00097196,          0.00020291,             0.11486,             0.18091,            0.069546,              0.0007,              0.0007,              0.0937
                   1,             0.10816,             0.21553,            0.066845,           0.0061991,            0.028355,            0.004991,           0.0013101,             0.10364,               0.279,            0.058115,           0.0014703,           0.0014703,             0.08647
                   2,            0.096644,             0.20053,            0.047444,           0.0031345,             0.03607,           0.0022458,          0.00050121,              0.1065,             0.47353,            0.041565,           0.0022089,           0.0022089,            0.079209
                   3,            0.087553,             0.19822,            0.034137,           0.0083502,            0.052739,           0.0080419,           0.0020106,            0.096518,             0.44383,            0.037708,           0.0029159,           0.0029159,            0.071916
                   4,            0.084749,             0.20228,            0.028609,             0.76998,            0.048311,            0.022021,           0.0052722,             0.08983,             0.25939,            0.032759,           0.0035911,           0.0035911,            0.064591
                   5,            0.085447,             0.20499,            0.026265,             0.23565,             0.16457,            0.076797,            0.030178,            0.078875,             0.27621,            0.028357,           0.0042347,           0.0042347,            0.057235
                   6,            0.095417,             0.21485,            0.025802,            0.084832,            0.098621,             0.08133,            0.019347,             0.10428,             0.26737,            0.030258,           0.0048466,           0.0048466,            0.049847
                   7,             0.10012,             0.25504,            0.029339,             0.66985,            0.019123,           0.0022577,          0.00062713,             0.10624,             0.63256,            0.027861,           0.0054268,           0.0054268,            0.042427
                   8,            0.097256,             0.29984,            0.031694,             0.50232,             0.21736,             0.10318,            0.031855,            0.090038,             0.40702,            0.035741,           0.0059754,           0.0059754,            0.034975
                   9,            0.090286,             0.29331,            0.033529,            0.096795,            0.050781,            0.014997,           0.0029177,             0.10924,             0.48492,            0.077842,           0.0064922,           0.0064922,            0.027492
                  10,            0.085484,             0.29804,            0.031931,          0.00070707,           0.0081585,          0.00039695,          6.1638e-05,              0.1099,              2.5708,            0.039295,           0.0069774,           0.0069774,            0.019977
                  11,            0.086896,             0.23928,             0.02896,             0.00597,            0.065104,             0.01117,           0.0026079,            0.086962,              2.4602,            0.035079,           0.0074309,           0.0074309,            0.012431
                  12,            0.079611,             0.21916,            0.026514,           0.0044097,            0.052653,           0.0046811,           0.0012647,            0.089084,              2.0766,            0.036466,            0.007624,            0.007624,            0.007624
                  13,               0.076,             0.20501,            0.023273,            0.010038,            0.062604,            0.024122,           0.0062543,            0.088459,              1.0357,            0.031476,            0.007624,            0.007624,            0.007624
                  14,            0.074772,             0.19616,            0.022183,            0.011035,            0.065848,            0.022349,           0.0068484,            0.079436,             0.70646,            0.028354,            0.007426,            0.007426,            0.007426
                  15,            0.070429,             0.19512,            0.021502,            0.019789,            0.066592,            0.033533,           0.0099556,            0.072082,             0.47056,            0.027095,            0.007228,            0.007228,            0.007228
                  16,            0.072586,              0.1788,             0.02118,              0.1061,             0.20851,              0.1392,            0.054604,            0.071895,             0.36431,            0.026353,             0.00703,             0.00703,             0.00703
                  17,            0.067825,              0.1876,            0.020368,             0.33031,             0.39916,             0.24792,             0.13136,            0.065862,             0.28559,            0.025223,            0.006832,            0.006832,            0.006832
                  18,            0.067399,             0.18306,            0.020033,              0.5834,             0.40195,             0.26097,             0.12204,            0.064017,             0.25174,            0.023549,            0.006634,            0.006634,            0.006634
                  19,            0.065589,             0.17288,            0.019603,             0.69652,               0.398,             0.31229,             0.16012,             0.06004,             0.21976,            0.022887,            0.006436,            0.006436,            0.006436
                  20,            0.065141,             0.18796,            0.019191,             0.69883,             0.40921,             0.30852,             0.15166,            0.060334,             0.20588,            0.022223,            0.006238,            0.006238,            0.006238
                  21,            0.062489,             0.17704,             0.01907,             0.79474,             0.39742,              0.3111,             0.16051,            0.056938,             0.18386,            0.021528,             0.00604,             0.00604,             0.00604
                  22,            0.061502,             0.18086,             0.01822,             0.80193,             0.39996,             0.33191,             0.18242,            0.054732,             0.16913,            0.020994,            0.005842,            0.005842,            0.005842
                  23,            0.058959,             0.17871,            0.017357,             0.82488,             0.41439,             0.35569,             0.20589,            0.053537,              0.1643,            0.020506,            0.005644,            0.005644,            0.005644
                  24,            0.060691,             0.17917,            0.018272,             0.81215,             0.41377,             0.35644,             0.20065,            0.053347,             0.15798,            0.020255,            0.005446,            0.005446,            0.005446
                  25,            0.060729,             0.17115,            0.017306,             0.82338,             0.40933,              0.3668,              0.1992,            0.052561,             0.15555,            0.019744,            0.005248,            0.005248,            0.005248
                  26,            0.059634,             0.17097,              0.0174,              0.8187,              0.3846,             0.37118,             0.19567,            0.053056,             0.14909,            0.019373,             0.00505,             0.00505,             0.00505
                  27,            0.059301,             0.18309,            0.016904,             0.72207,             0.43756,             0.36782,             0.18813,            0.052863,             0.14884,            0.019274,            0.004852,            0.004852,            0.004852
                  28,            0.057727,             0.17342,            0.016732,              0.7239,             0.43959,             0.36815,               0.208,            0.050417,             0.14724,            0.018989,            0.004654,            0.004654,            0.004654
                  29,            0.056405,             0.17781,             0.01592,             0.71716,             0.45321,             0.37202,              0.2023,              0.0508,             0.14623,            0.018806,            0.004456,            0.004456,            0.004456
                  30,            0.056849,             0.17716,            0.016131,             0.70982,             0.44253,             0.36576,             0.19125,            0.050549,             0.14382,            0.018606,            0.004258,            0.004258,            0.004258
                  31,             0.05563,             0.17528,            0.016154,             0.72043,             0.45297,             0.36165,             0.20548,            0.049219,             0.14441,            0.018302,             0.00406,             0.00406,             0.00406
                  32,            0.055061,              0.1762,            0.015447,             0.72828,              0.4605,             0.36669,             0.20411,            0.049521,             0.14437,            0.018215,            0.003862,            0.003862,            0.003862
                  33,            0.053799,             0.17662,            0.015929,             0.72044,             0.46282,             0.36419,             0.20151,            0.049055,             0.14664,            0.018538,            0.003664,            0.003664,            0.003664
                  34,            0.054374,             0.17786,            0.016195,              0.7285,             0.45242,             0.36083,             0.20807,            0.048317,             0.14485,            0.017814,            0.003466,            0.003466,            0.003466
                  35,            0.052666,             0.17606,            0.016155,             0.72161,             0.45563,             0.36283,             0.21409,            0.048579,             0.14544,             0.01819,            0.003268,            0.003268,            0.003268
                  36,            0.054047,             0.17091,            0.014772,             0.72035,             0.45536,             0.36608,             0.21404,            0.047794,             0.14514,            0.017799,             0.00307,             0.00307,             0.00307
                  37,            0.052102,             0.16932,            0.014848,             0.72938,              0.4602,             0.36125,             0.21385,            0.047842,             0.14486,            0.017724,            0.002872,            0.002872,            0.002872
                  38,            0.050509,               0.177,            0.015266,             0.71214,             0.47739,             0.36626,             0.21438,            0.047626,             0.14409,            0.017518,            0.002674,            0.002674,            0.002674
                  39,            0.051696,              0.1665,            0.014703,             0.71271,             0.42741,             0.36804,             0.20835,            0.047557,             0.14465,            0.017333,            0.002476,            0.002476,            0.002476
                  40,            0.052864,              0.1764,            0.014969,             0.62852,             0.44924,              0.3628,             0.20779,             0.04776,             0.14424,            0.017269,            0.002278,            0.002278,            0.002278
                  41,            0.051774,             0.17336,            0.014912,              0.7092,             0.43295,             0.36414,             0.21245,            0.047326,             0.14471,            0.017221,             0.00208,             0.00208,             0.00208
                  42,            0.051893,             0.17446,            0.014494,             0.62414,             0.47141,             0.36736,             0.20867,            0.047209,             0.14583,            0.017202,            0.001882,            0.001882,            0.001882
                  43,            0.050163,             0.17056,            0.014393,             0.63056,             0.45292,             0.36414,             0.21656,            0.046696,             0.14492,            0.017126,            0.001684,            0.001684,            0.001684
                  44,            0.050717,             0.17215,            0.014992,             0.63764,             0.45332,             0.36823,             0.22211,            0.046453,             0.14441,            0.016958,            0.001486,            0.001486,            0.001486
                  45,             0.04951,              0.1691,            0.014638,             0.73205,             0.44494,             0.37085,              0.2247,            0.046407,             0.14508,            0.016861,            0.001288,            0.001288,            0.001288
                  46,            0.049612,             0.16468,            0.013839,             0.73085,             0.44513,              0.3694,             0.22676,            0.046183,             0.14489,            0.016888,             0.00109,             0.00109,             0.00109
                  47,            0.050775,             0.17374,            0.014352,             0.63758,              0.4624,             0.36646,             0.22611,            0.045972,             0.14402,            0.016809,            0.000892,            0.000892,            0.000892
                  48,            0.049704,              0.1686,            0.014087,             0.63882,             0.45906,             0.36186,             0.22078,            0.045957,             0.14366,            0.016746,            0.000694,            0.000694,            0.000694
                  49,            0.050144,             0.16004,            0.014312,             0.63831,             0.45091,             0.36377,             0.21937,            0.046037,             0.14389,            0.016749,            0.000496,            0.000496,            0.000496
