               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049785,             0.16971,            0.013931,             0.63361,             0.45258,             0.36407,              0.2154,            0.046504,             0.14493,            0.016746,              0.0007,              0.0007,              0.0937
                   1,            0.049829,             0.16605,            0.014142,             0.63453,             0.45114,             0.36775,             0.21446,            0.046624,             0.14452,            0.016753,           0.0014703,           0.0014703,             0.08647
                   2,            0.050042,             0.16597,            0.013856,             0.64664,               0.447,             0.37209,             0.21923,             0.04623,             0.14459,            0.016734,           0.0022089,           0.0022089,            0.079209
                   3,            0.049875,             0.16529,            0.014736,             0.63614,             0.44194,             0.36139,             0.21696,            0.046249,             0.14414,             0.01667,           0.0029159,           0.0029159,            0.071916
                   4,            0.049469,             0.17006,            0.013835,             0.62508,             0.47186,             0.36541,             0.21158,            0.046839,             0.14687,            0.016802,           0.0035911,           0.0035911,            0.064591
                   5,            0.050595,             0.17322,            0.014078,             0.62274,             0.44333,             0.36083,             0.21537,            0.046505,             0.14486,             0.01649,           0.0042347,           0.0042347,            0.057235
                   6,            0.054347,             0.16969,            0.014669,             0.64354,             0.43031,             0.36115,              0.1929,            0.049687,             0.14785,            0.016479,           0.0048466,           0.0048466,            0.049847
                   7,            0.058874,             0.17437,            0.013648,              0.6693,             0.48655,             0.36519,             0.20934,            0.048099,             0.14818,            0.016479,           0.0054268,           0.0054268,            0.042427
                   8,            0.058747,             0.19867,            0.014914,              0.6277,               0.416,             0.34291,             0.17287,            0.053986,             0.17474,            0.017591,           0.0059754,           0.0059754,            0.034975
                   9,            0.058447,             0.17923,            0.015127,             0.59404,             0.45518,             0.33229,             0.18329,            0.049996,             0.15111,            0.017251,           0.0064922,           0.0064922,            0.027492
                  10,            0.056833,             0.17253,            0.014496,              0.6191,             0.41726,              0.3388,             0.16817,            0.050299,             0.15005,            0.017123,           0.0069774,           0.0069774,            0.019977
                  11,            0.059791,             0.18499,            0.014521,             0.55289,             0.36887,             0.27639,             0.14054,            0.051763,             0.15404,            0.017833,           0.0074309,           0.0074309,            0.012431
                  12,             0.05841,              0.1755,            0.014819,              0.7206,             0.41724,             0.34719,             0.18522,            0.049634,             0.15079,            0.017043,            0.007624,            0.007624,            0.007624
                  13,            0.059518,             0.17845,            0.014822,             0.65375,             0.47037,              0.3541,             0.19831,            0.049395,             0.14955,            0.016759,            0.007624,            0.007624,            0.007624
                  14,            0.056792,              0.1632,            0.014636,             0.63068,             0.43916,             0.35172,             0.18025,            0.050754,              0.1514,            0.016759,            0.007426,            0.007426,            0.007426
                  15,            0.054101,              0.1682,            0.014327,             0.66903,             0.42346,             0.36219,             0.20681,            0.049389,             0.14837,            0.016806,            0.007228,            0.007228,            0.007228
                  16,            0.058473,             0.17998,            0.014182,             0.65829,             0.44716,             0.36157,             0.20114,            0.050143,             0.15022,            0.016991,             0.00703,             0.00703,             0.00703
                  17,            0.054996,             0.17643,            0.013775,             0.68359,             0.38901,             0.35192,             0.19699,            0.048258,             0.15094,            0.017336,            0.006832,            0.006832,            0.006832
                  18,            0.055007,             0.17264,            0.013837,             0.72052,             0.45242,             0.35983,              0.2114,            0.048548,             0.14796,             0.01677,            0.006634,            0.006634,            0.006634
                  19,            0.053243,             0.17139,            0.014105,             0.67062,             0.41364,             0.34894,             0.20463,            0.047534,             0.14833,            0.016706,            0.006436,            0.006436,            0.006436
                  20,            0.053616,             0.17541,            0.013508,             0.65882,             0.43883,             0.34665,             0.20485,            0.047098,              0.1484,            0.016967,            0.006238,            0.006238,            0.006238
                  21,            0.052757,             0.16693,            0.013628,             0.71387,             0.45407,             0.36609,             0.21202,            0.047535,             0.14769,            0.017184,             0.00604,             0.00604,             0.00604
                  22,            0.052349,             0.17317,             0.01349,             0.62284,              0.4228,             0.32134,             0.18284,            0.047044,             0.15054,            0.016839,            0.005842,            0.005842,            0.005842
                  23,            0.052326,             0.16452,             0.01317,             0.61805,             0.41286,             0.31079,             0.17515,            0.046883,             0.15228,            0.017362,            0.005644,            0.005644,            0.005644
                  24,            0.052992,             0.17253,            0.013606,              0.6054,             0.38295,             0.29586,             0.16975,            0.047181,             0.15334,             0.01699,            0.005446,            0.005446,            0.005446
                  25,            0.049718,             0.15603,            0.013201,             0.58526,             0.38195,             0.28982,             0.16565,            0.046619,             0.15467,            0.017206,            0.005248,            0.005248,            0.005248
                  26,             0.05158,             0.16232,            0.013108,             0.57592,             0.35333,             0.26154,             0.15663,             0.04702,             0.15757,            0.017748,             0.00505,             0.00505,             0.00505
                  27,            0.051977,             0.16589,            0.013226,             0.62374,             0.37076,             0.27811,             0.16782,            0.046978,             0.15942,             0.01723,            0.004852,            0.004852,            0.004852
                  28,            0.050554,             0.16023,            0.013004,             0.59498,             0.34121,             0.26808,             0.15265,              0.0484,             0.15845,             0.01755,            0.004654,            0.004654,            0.004654
                  29,            0.051653,             0.17515,            0.012585,             0.63213,             0.36805,             0.28616,             0.16843,            0.046058,             0.15366,            0.016431,            0.004456,            0.004456,            0.004456
                  30,            0.049258,             0.16353,            0.012836,             0.60292,             0.33344,             0.26404,             0.15439,            0.046315,             0.15718,            0.016625,            0.004258,            0.004258,            0.004258
                  31,             0.04956,              0.1647,            0.013179,             0.63822,              0.3617,             0.28824,             0.16675,             0.04515,              0.1542,            0.016001,             0.00406,             0.00406,             0.00406
                  32,             0.05108,             0.16516,            0.012481,             0.59821,             0.40373,             0.29297,             0.17504,            0.045242,              0.1539,             0.01597,            0.003862,            0.003862,            0.003862
                  33,            0.049832,             0.16028,            0.012424,             0.61754,             0.38549,             0.31448,             0.18034,            0.045746,             0.15233,            0.015993,            0.003664,            0.003664,            0.003664
                  34,            0.049146,             0.16653,            0.012549,             0.63855,             0.37463,             0.32678,             0.18115,            0.045552,             0.14966,            0.015737,            0.003466,            0.003466,            0.003466
                  35,            0.049988,             0.15872,            0.012589,             0.61371,             0.43303,             0.32522,             0.19317,            0.045031,             0.14839,            0.015491,            0.003268,            0.003268,            0.003268
                  36,            0.048286,             0.15544,            0.012441,             0.62013,             0.42266,             0.32415,             0.18979,            0.044786,             0.15052,            0.015487,             0.00307,             0.00307,             0.00307
                  37,            0.048873,             0.15662,            0.012367,             0.61752,             0.43289,             0.32002,             0.18571,            0.045052,              0.1525,            0.015547,            0.002872,            0.002872,            0.002872
                  38,            0.049019,             0.16058,            0.012566,             0.68935,             0.44402,             0.35646,             0.20852,            0.044471,             0.14771,            0.015146,            0.002674,            0.002674,            0.002674
                  39,            0.047451,             0.15501,            0.011798,             0.68742,              0.4201,             0.34757,             0.20348,            0.044686,             0.14938,            0.015246,            0.002476,            0.002476,            0.002476
                  40,            0.047971,              0.1612,            0.012456,             0.68467,             0.33638,             0.31922,             0.18033,            0.045052,             0.15333,            0.015472,            0.002278,            0.002278,            0.002278
                  41,            0.047748,             0.15141,            0.012463,             0.61699,             0.43125,             0.34508,             0.20916,            0.043774,             0.14897,            0.014908,             0.00208,             0.00208,             0.00208
                  42,             0.04592,             0.15784,            0.012047,             0.71424,             0.44893,             0.36673,             0.22542,            0.043525,             0.14805,            0.014787,            0.001882,            0.001882,            0.001882
                  43,            0.045526,             0.15049,            0.011805,             0.71348,              0.4507,              0.3786,              0.2297,            0.043288,             0.14707,            0.014621,            0.001684,            0.001684,            0.001684
                  44,             0.04692,              0.1608,            0.012313,             0.68156,             0.38011,             0.34473,             0.20714,            0.043769,             0.14981,            0.014951,            0.001486,            0.001486,            0.001486
