               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033717,             0.03653,            0.011501,             0.60666,             0.70559,             0.62132,             0.36034,            0.037388,            0.041955,            0.018105,           0.0007146,           0.0007146,            0.090917
                   1,            0.033655,            0.036581,            0.011094,             0.61405,             0.66837,             0.60631,             0.34792,            0.038054,             0.04293,            0.018339,           0.0015176,           0.0015176,            0.085003
                   2,             0.03346,            0.036101,            0.011011,             0.57829,             0.66693,             0.58915,             0.33162,            0.038498,            0.043518,            0.020804,           0.0022877,           0.0022877,            0.079056
                   3,            0.032222,            0.034042,            0.010291,             0.60081,             0.66291,              0.6065,             0.33163,            0.038666,            0.042666,            0.021476,           0.0030247,           0.0030247,            0.073075
                   4,            0.033173,            0.034193,            0.010351,             0.60312,             0.70798,             0.60955,             0.33636,            0.038509,            0.043495,            0.019294,           0.0037287,           0.0037287,            0.067062
                   5,            0.033567,            0.034437,           0.0099725,             0.61029,             0.67957,             0.62511,             0.33668,            0.038748,            0.041631,            0.017943,           0.0043997,           0.0043997,            0.061016
                   6,            0.034834,            0.036125,            0.010663,             0.58716,             0.65658,             0.60108,             0.32664,            0.038893,            0.043094,            0.018864,           0.0050377,           0.0050377,            0.054937
                   7,            0.038559,            0.034596,             0.01109,             0.40072,             0.58968,             0.46125,             0.19626,             0.04623,            0.047911,            0.021617,           0.0056426,           0.0056426,            0.048825
                   8,            0.041638,            0.036022,             0.01107,             0.46741,             0.53405,             0.47831,             0.21624,            0.046535,            0.047381,            0.021929,           0.0062146,           0.0062146,            0.042679
                   9,            0.040158,            0.036144,            0.011212,             0.52594,             0.65903,             0.56168,             0.26829,            0.045196,            0.042153,            0.019762,           0.0067535,           0.0067535,            0.036501
                  10,            0.042721,            0.037177,            0.011936,             0.49175,             0.62076,             0.54241,             0.24767,            0.045009,            0.040261,            0.022182,           0.0072595,           0.0072595,             0.03029
                  11,            0.040044,            0.036735,            0.011601,             0.52394,             0.60346,             0.56398,             0.28241,            0.043837,            0.038985,            0.018909,           0.0077324,           0.0077324,            0.024046
                  12,            0.041353,            0.035748,            0.011104,             0.44486,              0.6132,             0.48896,             0.23029,            0.045978,            0.039734,            0.022668,           0.0081723,           0.0081723,            0.017768
                  13,            0.041086,             0.03766,            0.011574,              0.4759,             0.61044,             0.53816,             0.26207,            0.044056,            0.040293,            0.018948,           0.0085792,           0.0085792,            0.011458
                  14,            0.043231,            0.035676,            0.011934,              0.3939,             0.72573,             0.47949,             0.22928,            0.045059,            0.042929,            0.020855,           0.0086087,           0.0086087,           0.0086087
                  15,            0.040295,            0.038232,             0.01225,             0.43297,             0.55204,             0.51384,             0.25267,            0.044305,            0.045407,            0.019366,           0.0086087,           0.0086087,           0.0086087
                  16,            0.041014,            0.035814,            0.011747,             0.36577,             0.62712,             0.47205,             0.22998,            0.045091,             0.04289,            0.017005,           0.0083729,           0.0083729,           0.0083729
