               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12553,             0.24163,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0007,              0.0007,              0.0937
                   1,             0.12043,             0.24484,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013515,           0.0013515,            0.086351
                   2,             0.11312,             0.20675,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018446,           0.0018446,            0.078845
                   3,            0.099984,             0.20307,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021793,           0.0021793,            0.071179
                   4,            0.093048,             0.19852,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023556,           0.0023556,            0.063356
                   5,            0.093165,             0.19688,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023735,           0.0023735,            0.055374
                   6,             0.09561,             0.21253,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002233,            0.002233,            0.047233
                   7,            0.094592,              0.2093,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019341,           0.0019341,            0.038934
                   8,            0.087669,             0.21357,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014768,           0.0014768,            0.030477
                   9,            0.081301,              0.1998,                   0,             0.58037,             0.77285,             0.69379,              0.2994,              0.0732,             0.18735,                   0,           0.0008611,           0.0008611,            0.021861
                   0,             0.14251,             0.26473,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0007,              0.0007,              0.0937
                   1,             0.13661,             0.26697,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013515,           0.0013515,            0.086352
                   2,              0.1278,             0.22055,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018447,           0.0018447,            0.078845
                   3,             0.11424,             0.21561,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021796,           0.0021796,             0.07118
                   4,             0.10799,             0.20855,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023561,           0.0023561,            0.063356
                   5,             0.10485,             0.20684,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023742,           0.0023742,            0.055374
                   6,             0.11561,             0.21214,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002234,            0.002234,            0.047234
                   7,             0.11775,             0.19468,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019354,           0.0019354,            0.038935
                   8,             0.11321,             0.19697,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014784,           0.0014784,            0.030478
                   9,            0.098133,             0.20159,                   0,             0.45511,              0.7036,             0.54846,             0.20941,            0.091187,             0.20047,                   0,          0.00086316,          0.00086316,            0.021863
                   0,             0.12517,              0.2579,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0007,              0.0007,             0.09914
                   1,             0.11584,               0.244,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013515,           0.0013515,            0.091324
                   2,              0.1024,             0.21552,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018446,           0.0018446,            0.083349
                   3,            0.094542,              0.2117,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021793,           0.0021793,            0.075216
                   4,            0.090726,             0.20002,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023556,           0.0023556,            0.066924
                   5,            0.086665,             0.21087,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023735,           0.0023735,            0.058474
                   6,            0.090511,             0.21471,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002233,            0.002233,            0.049866
                   7,            0.094041,              0.2219,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019341,           0.0019341,            0.041099
                   8,            0.085864,             0.20009,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014768,           0.0014768,            0.032173
                   9,            0.077438,             0.19421,                   0,             0.72704,             0.82266,             0.83361,             0.32768,            0.072483,             0.19308,                   0,           0.0008611,           0.0008611,             0.02309
                   0,             0.14985,             0.23186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007749,           0.0007749,            0.080215
                   1,              0.1432,             0.24196,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014961,           0.0014961,            0.074103
                   2,             0.13427,             0.20285,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002042,            0.002042,            0.067815
                   3,             0.11919,             0.19759,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024125,           0.0024125,            0.061352
                   4,             0.11364,             0.18862,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026076,           0.0026076,            0.054714
                   5,             0.11197,             0.18884,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026275,           0.0026275,              0.0479
                   6,             0.12588,             0.18976,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024719,           0.0024719,            0.040911
                   7,             0.11608,             0.21357,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002141,            0.002141,            0.033746
                   8,             0.10818,             0.21254,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016348,           0.0016348,            0.026407
                   9,            0.096331,             0.19028,                   0,             0.57579,              0.8144,             0.70551,             0.30085,            0.087563,             0.19573,                   0,          0.00095324,          0.00095324,            0.018891
                   0,             0.11358,             0.21961,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0007,              0.0007,            0.089599
                   1,                0.11,              0.2073,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013515,           0.0013515,            0.082603
                   2,             0.10053,             0.18773,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018446,           0.0018446,            0.075449
                   3,              0.0901,             0.18173,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021793,           0.0021793,            0.068136
                   4,            0.085062,             0.18971,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023556,           0.0023556,            0.060665
                   5,            0.080701,             0.18169,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023735,           0.0023735,            0.053036
                   6,            0.085259,             0.19829,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002233,            0.002233,            0.045248
                   7,            0.084848,             0.18895,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019341,           0.0019341,            0.037302
                   8,            0.078743,              0.1822,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014768,           0.0014768,            0.029198
                   9,            0.073557,             0.17549,                   0,               0.718,             0.79344,              0.8113,             0.35574,            0.064667,             0.17456,                   0,           0.0008611,           0.0008611,            0.020935
                   0,             0.14814,             0.25375,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0009359,           0.0009359,            0.093936
                   1,             0.14102,             0.24368,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001807,            0.001807,            0.086807
                   2,             0.12845,             0.20225,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024663,           0.0024663,            0.079466
                   3,             0.11834,             0.19617,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029139,           0.0029139,            0.071914
                   4,             0.11177,              0.2012,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031498,           0.0031498,             0.06415
