               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11358,             0.21948,                   0,            0.017845,              0.1662,            0.013415,           0.0028068,             0.10581,             0.23039,                   0,              0.0007,              0.0007,            0.089599
                   1,             0.10983,             0.20724,                   0,             0.15681,             0.24377,             0.10849,             0.02534,             0.10452,             0.38622,                   0,           0.0014703,           0.0014703,            0.082722
                   2,            0.099415,             0.18767,                   0,             0.12498,             0.53186,             0.10439,            0.024209,            0.098724,             0.36401,                   0,           0.0022089,           0.0022089,            0.075813
                   3,            0.090101,             0.18318,                   0,              0.1691,             0.62188,             0.17905,            0.046735,            0.089794,             0.28851,                   0,           0.0029159,           0.0029159,            0.068873
                   4,             0.08671,             0.19162,                   0,              0.1987,             0.67175,             0.21711,             0.05628,            0.083933,             0.29659,                   0,           0.0035911,           0.0035911,            0.061901
                   5,            0.084938,             0.17877,                   0,             0.28074,             0.68283,             0.36066,             0.10113,             0.08586,             0.27321,                   0,           0.0042347,           0.0042347,            0.054897
                   6,             0.09756,             0.28177,                   0,           0.0049383,            0.055402,           0.0026062,           0.0005744,             0.10916,              0.5586,                   0,           0.0048466,           0.0048466,            0.047862
                   7,             0.09597,             0.40522,                   0,             0.13013,             0.33102,             0.09249,            0.021461,             0.08631,             0.40001,                   0,           0.0054268,           0.0054268,            0.040795
                   8,            0.090571,             0.27741,                   0,            0.024254,              0.2687,            0.015367,           0.0033098,            0.099412,              1.7549,                   0,           0.0059754,           0.0059754,            0.033696
                   9,            0.089736,             0.23454,                   0,             0.13506,             0.42237,             0.16718,             0.04331,            0.089747,             0.34709,                   0,           0.0064922,           0.0064922,            0.026566
                  10,            0.084393,             0.22542,                   0,             0.12488,             0.55263,             0.11308,            0.028937,            0.095112,              0.2086,                   0,           0.0069774,           0.0069774,            0.019404
                  11,              0.0825,             0.24607,                   0,            0.027302,             0.30471,            0.018822,           0.0040149,             0.10323,              1.3963,                   0,           0.0074309,           0.0074309,             0.01221
                  12,            0.083354,             0.20976,                   0,            0.017064,             0.18837,            0.010257,           0.0022248,             0.11622,               1.223,                   0,            0.007624,            0.007624,            0.007624
                  13,            0.077893,             0.19281,                   0,            0.086841,             0.47368,            0.064926,            0.016329,             0.10217,             0.71349,                   0,            0.007624,            0.007624,            0.007624
                  14,              0.0776,             0.18166,                   0,            0.092035,             0.76731,             0.10777,            0.028395,            0.087539,              1.5193,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.077695,             0.19176,                   0,             0.11222,             0.91413,             0.20834,            0.065119,            0.082329,             0.87587,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.075336,             0.18309,                   0,             0.19983,             0.75623,             0.21666,            0.067129,            0.083088,             0.57523,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.075125,             0.17247,                   0,             0.27686,             0.75623,             0.36193,             0.10804,            0.075727,             0.41579,                   0,            0.006832,            0.006832,            0.006832
