               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061603,             0.15731,                   0,             0.98377,              0.9723,               0.985,             0.65001,            0.051238,             0.14514,                   0,              0.0007,              0.0007,            0.089599
                   1,            0.058953,             0.14989,                   0,             0.98324,             0.97535,             0.98533,              0.6525,            0.051165,             0.14467,                   0,           0.0014703,           0.0014703,            0.082722
                   2,            0.060875,             0.15911,                   0,             0.98658,             0.97645,              0.9856,             0.65253,            0.051134,              0.1452,                   0,           0.0022089,           0.0022089,            0.075813
                   3,            0.060363,             0.15562,                   0,             0.98439,             0.97507,             0.98517,             0.63834,            0.051606,             0.14632,                   0,           0.0029159,           0.0029159,            0.068873
                   4,            0.059141,             0.15827,                   0,             0.98733,             0.97172,             0.98466,             0.64519,            0.051361,             0.14655,                   0,           0.0035911,           0.0035911,            0.061901
                   5,            0.060343,             0.15543,                   0,             0.98181,              0.9723,             0.98457,             0.65542,            0.051286,             0.14507,                   0,           0.0042347,           0.0042347,            0.054897
                   6,            0.062215,             0.16445,                   0,             0.97769,             0.97115,             0.98361,             0.62384,            0.052364,             0.14631,                   0,           0.0048466,           0.0048466,            0.047862
                   7,            0.063642,             0.15828,                   0,             0.98041,             0.97041,             0.98394,             0.63232,            0.052098,             0.14968,                   0,           0.0054268,           0.0054268,            0.040795
                   8,            0.061086,             0.17106,                   0,             0.97504,             0.97394,             0.98432,             0.55826,            0.055463,               0.157,                   0,           0.0059754,           0.0059754,            0.033696
                   9,            0.064673,             0.15712,                   0,             0.98873,             0.97216,             0.98535,             0.62638,            0.052171,             0.14902,                   0,           0.0064922,           0.0064922,            0.026566
                  10,            0.063293,             0.16491,                   0,             0.98034,             0.96679,             0.98447,             0.63326,            0.051713,             0.14851,                   0,           0.0069774,           0.0069774,            0.019404
                  11,            0.064455,             0.15776,                   0,             0.98308,             0.96582,             0.98505,             0.64382,            0.051515,             0.14865,                   0,           0.0074309,           0.0074309,             0.01221
                  12,            0.061684,             0.16285,                   0,             0.99087,             0.96399,             0.98331,             0.60392,            0.052924,              0.1524,                   0,            0.007624,            0.007624,            0.007624
                  13,            0.062565,             0.16486,                   0,             0.98746,             0.97091,             0.98662,             0.63352,            0.052357,             0.15189,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.062821,             0.16348,                   0,             0.98325,             0.96814,             0.98349,             0.63979,            0.051659,              0.1476,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.061574,             0.15405,                   0,              0.9859,              0.9723,             0.98288,             0.63139,            0.052065,             0.14766,                   0,            0.007228,            0.007228,            0.007228
